mixture_ID,mixture_ref_1,mixture_ref2_1
01bc0205-2_01jc020w-0,train/01b/01bc020s-2.wav,train/01j/01jo030q-4.wav
40oo031a-0_40go0315-0,train/40o/40oa010o-0.wav,train/40g/40ga010o-2.wav
40bc020i-0_40lo030m-4,train/40b/40bc020z-2.wav,train/40l/40lc021d-0.wav
01ra0114-0_02ca010v-0,train/01r/01ro030p-2.wav,train/02c/02co030w-2.wav
01uc0206-0_208a010y-0,train/01u/01uo0313-0.wav,train/208/208o010j-0.wav
20cc010e-0_20kc0107-0,train/20c/20ca0104-2.wav,train/20k/20ko010k-0.wav
407o030f-0_011o030v-8,train/407/407o030w-4.wav,train/011/011a0112-0.wav
01na010f-4_022o0305-0,train/01n/01no0303-6.wav,train/022/022c0216-2.wav
01gc020e-0_01ac020f-0,train/01g/01gc020j-0.wav,train/01a/01ao030v-2.wav
02do030o-4_024o0307-2,train/02d/02do0306-2.wav,train/024/024o030j-4.wav
01qc021a-4_025o030t-0,train/01q/01qo030l-0.wav,train/025/025o030s-4.wav
01vo031c-6_40aa010s-0,train/01v/01va010c-0.wav,train/40a/40ac0211-0.wav
20mo0109-0_20uo010b-6,train/20m/20mc010f-6.wav,train/20u/20uc010f-4.wav
01pa010f-0_40ko030u-0,train/01p/01po030d-6.wav,train/40k/40ko030s-4.wav
022c020e-0_01pa0107-0,train/022/022o030a-4.wav,train/01p/01po0304-0.wav
02dc0213-4_20la0111-4,train/02d/02do030t-0.wav,train/20l/20la010n-0.wav
40fc020m-2_20ga0104-0,train/40f/40fo030a-0.wav,train/20g/20ga0108-0.wav
40jc0217-0_01qc0213-10,train/40j/40jo030n-4.wav,train/01q/01qc020k-4.wav
01oc0202-0_01ua0108-0,train/01o/01oc020f-4.wav,train/01u/01uc020t-0.wav
20rc010a-0_20ao0101-2,train/20r/20ro0107-2.wav,train/20a/20ao010i-2.wav
20qc010d-4_020c0208-0,train/20q/20qa0111-0.wav,train/020/020c0211-0.wav
02eo0312-12_20po010d-2,train/02e/02eo0311-2.wav,train/20p/20pa010i-2.wav
207o010e-0_023c020u-4,train/207/207c010b-0.wav,train/023/023o0316-0.wav
20qo0108-0_022o030s-4,train/20q/20qc010g-0.wav,train/022/022o030j-2.wav
01to030n-8_40bc020f-2,train/01t/01tc020d-2.wav,train/40b/40bc021d-0.wav
403o030z-6_20eo0107-6,train/403/403o030m-4.wav,train/20e/20ea010h-0.wav
409c020v-4_01eo030x-0,train/409/409o0304-0.wav,train/01e/01ec0205-2.wav
40go0313-2_023o0314-4,train/40g/40go030w-4.wav,train/023/023o0311-2.wav
20ra010v-0_02dc0208-6,train/20r/20ra010o-0.wav,train/02d/02dc0213-0.wav
01ec020s-0_40mc021b-0,train/01e/01ea010t-0.wav,train/40m/40mc020n-0.wav
01qo030f-0_014o030k-4,train/01q/01qo0303-4.wav,train/014/014c021a-2.wav
01wo0310-4_20po0101-0,train/01w/01wa010w-2.wav,train/20p/20pa0111-0.wav
206o0102-8_02cc020q-4,train/206/206o0103-2.wav,train/02c/02co0306-2.wav
013a0105-0_029c020u-2,train/013/013c021a-0.wav,train/029/029c020v-2.wav
01va0107-0_01ua010z-0,train/01v/01vc020o-0.wav,train/01u/01uo0313-2.wav
011c0216-0_02bc021e-2,train/011/011o031d-0.wav,train/02b/02bo0311-2.wav
01wc0204-2_40la010q-4,train/01w/01wa010s-0.wav,train/40l/40lc020o-0.wav
01oo0317-0_02cc020m-0,train/01o/01oo0305-0.wav,train/02c/02co030i-6.wav
017o0302-6_40ka010r-0,train/017/017o0309-2.wav,train/40k/40kc020i-0.wav
025o030s-4_20ba010s-0,train/025/025o0303-6.wav,train/20b/20bo010c-4.wav
406a010q-0_40ec020a-0,train/406/406c0213-2.wav,train/40e/40eo0309-2.wav
024o031c-0_025c0207-0,train/024/024o0315-0.wav,train/025/025c020g-4.wav
207a0114-0_40io030t-2,train/207/207o010h-0.wav,train/40i/40io030c-2.wav
01jo0301-8_01ta0107-0,train/01j/01jo030y-6.wav,train/01t/01tc020z-2.wav
022o0308-0_01xo030p-4,train/022/022c0210-2.wav,train/01x/01xc0214-6.wav
20sa010o-0_407o030s-4,train/20s/20so010d-4.wav,train/407/407o030c-0.wav
20ec010j-0_208o010j-0,train/20e/20eo0106-4.wav,train/208/208a010g-0.wav
40hc020z-0_025c020x-0,train/40h/40ho0314-0.wav,train/025/025o030c-4.wav
01aa010r-2_407c020m-0,train/01a/01ao031a-4.wav,train/407/407c020h-6.wav
20na010h-0_40go0308-0,train/20n/20no0105-10.wav,train/40g/40gc020d-2.wav
01nc0208-10_01ya010m-0,train/01n/01no0304-18.wav,train/01y/01yc021b-0.wav
01lc020a-0_019o0305-2,train/01l/01lo0305-2.wav,train/019/019c020g-2.wav
401a010l-2_01ic021f-2,train/401/401a0107-4.wav,train/01i/01io030v-2.wav
01co0316-4_02cc020i-2,train/01c/01co0310-6.wav,train/02c/02co030f-0.wav
02co030g-2_403c020y-4,train/02c/02ca0111-0.wav,train/403/403a010h-0.wav
40ac0218-2_20oo0108-0,train/40a/40aa010k-0.wav,train/20o/20oo0108-4.wav
01rc0210-2_01to030h-6,train/01r/01ro0318-2.wav,train/01t/01to031f-0.wav
02do030z-0_403c020l-0,train/02d/02do030k-2.wav,train/403/403o030a-0.wav
01ko030e-4_01wc0219-2,train/01k/01kc020a-4.wav,train/01w/01wo030w-0.wav
01bc020v-0_01qo030p-0,train/01b/01bc020b-2.wav,train/01q/01qo0314-2.wav
40bo0316-0_40lc020w-0,train/40b/40bc0205-0.wav,train/40l/40lc020h-0.wav
01nc0209-6_40gc0208-2,train/01n/01no0307-4.wav,train/40g/40go030c-0.wav
02aa010s-0_01kc0217-4,train/02a/02ac0216-6.wav,train/01k/01kc0204-4.wav
01zo030f-0_02do031c-0,train/01z/01zo030d-2.wav,train/02d/02dc020t-4.wav
01zo030p-2_021c0202-2,train/01z/01zc0214-2.wav,train/021/021c0201-4.wav
01lc0216-2_019o0304-0,train/01l/01la0114-2.wav,train/019/019o0316-0.wav
40da0114-0_20qa010n-0,train/40d/40dc020v-2.wav,train/20q/20qa010e-0.wav
01dc021a-0_015o030r-8,train/01d/01do030l-0.wav,train/015/015c020k-0.wav
025c0210-0_02cc020o-2,train/025/025o031c-4.wav,train/02c/02cc021c-0.wav
02ca0109-0_015c020x-4,train/02c/02co031a-2.wav,train/015/015c021g-2.wav
028o030t-2_20qo010j-0,train/028/028o0303-4.wav,train/20q/20qc0109-4.wav
018a010e-2_40ac020i-0,train/018/018c020m-0.wav,train/40a/40ao030y-4.wav
027o0312-4_20ua010x-0,train/027/027a010k-0.wav,train/20u/20uc010c-2.wav
029c020c-0_021o0309-4,train/029/029a010w-0.wav,train/021/021c021f-4.wav
023a010i-0_014o030d-2,train/023/023o030a-2.wav,train/014/014o030j-0.wav
40jo030r-4_20kc0105-10,train/40j/40jc0215-0.wav,train/20k/20ka010m-4.wav
40ac0219-0_20ma0101-0,train/40a/40aa010l-0.wav,train/20m/20mc010a-4.wav
40no030e-0_01qc0201-2,train/40n/40nc020u-0.wav,train/01q/01qa0104-0.wav
023c0207-8_01jo030p-0,train/023/023c0209-2.wav,train/01j/01jo030g-0.wav
406c020w-2_011o030z-4,train/406/406a0114-2.wav,train/011/011o030n-2.wav
406c020k-2_012a010y-0,train/406/406c0204-2.wav,train/012/012o030q-4.wav
01za0110-0_40lo030j-4,train/01z/01zc020t-0.wav,train/40l/40lo0310-10.wav
016o030d-0_40go030b-6,train/016/016c0209-0.wav,train/40g/40gc020l-0.wav
01jc020x-2_01va010r-0,train/01j/01jo030a-4.wav,train/01v/01vc020x-0.wav
01uc0215-0_023c0216-2,train/01u/01ua010i-2.wav,train/023/023o0318-0.wav
405c021f-0_404c020y-0,train/405/405o031c-0.wav,train/404/404o0313-8.wav
20no010q-4_01la010i-0,train/20n/20na0109-2.wav,train/01l/01lo0317-4.wav
022o030p-0_011o0311-2,train/022/022o0310-0.wav,train/011/011o030w-0.wav
022a0102-0_40oo030j-0,train/022/022o030q-0.wav,train/40o/40oc0208-0.wav
01po030u-6_01ca010w-4,train/01p/01pc020m-0.wav,train/01c/01co031e-6.wav
029a010u-2_01wo030c-2,train/029/029o0305-2.wav,train/01w/01wo0315-6.wav
025o030c-4_01sa010w-0,train/025/025o0303-8.wav,train/01s/01so030k-6.wav
406o030n-4_20jc010g-0,train/406/406o030d-2.wav,train/20j/20jc010i-2.wav
017a010u-2_022c020l-0,train/017/017c0211-0.wav,train/022/022o0306-0.wav
40ho030h-4_40aa010m-0,train/40h/40hc0205-0.wav,train/40a/40ao030y-6.wav
023a010w-0_01da010j-0,train/023/023c0208-0.wav,train/01d/01da0101-0.wav
01qo031e-0_20to010a-2,train/01q/01qa0101-2.wav,train/20t/20ta010m-0.wav
408c0218-2_208o0107-0,train/408/408a0104-0.wav,train/208/208a0109-0.wav
408a0111-0_40ja010h-0,train/408/408a010u-0.wav,train/40j/40jc021c-0.wav
20sa010y-2_20nc010p-0,train/20s/20so0103-2.wav,train/20n/20nc010f-0.wav
01ko031f-2_40ic0203-2,train/01k/01kc020s-2.wav,train/40i/40io0312-2.wav
204c0105-0_011o030h-8,train/204/204o010c-0.wav,train/011/011o0310-2.wav
20ao010q-6_01ro030u-0,train/20a/20aa010s-0.wav,train/01r/01rc020i-2.wav
01rc020b-2_013o0303-4,train/01r/01rc0209-4.wav,train/013/013a010f-0.wav
021c020o-0_01mc020o-2,train/021/021c020j-0.wav,train/01m/01mc021a-2.wav
02ea010l-0_20vc010j-0,train/02e/02eo0315-6.wav,train/20v/20va0103-0.wav
029c0218-2_20bc010e-4,train/029/029a010g-2.wav,train/20b/20bo010j-0.wav
019o030m-0_01la010h-0,train/019/019o030a-2.wav,train/01l/01lc0217-2.wav
40oc0218-0_01ma010r-0,train/40o/40oa0103-0.wav,train/01m/01mo030h-0.wav
01ic020i-4_02dc020q-2,train/01i/01ic0213-0.wav,train/02d/02do030k-4.wav
40fc0208-4_01zc020b-0,train/40f/40fc0203-0.wav,train/01z/01zc0210-0.wav
01zo030j-0_401o030x-2,train/01z/01za010n-0.wav,train/401/401o030j-0.wav
40pc021e-0_209o0105-0,train/40p/40po030z-0.wav,train/209/209c010e-0.wav
01ua010h-2_01wa010h-0,train/01u/01uc0210-0.wav,train/01w/01wa0112-0.wav
40hc0205-0_406c0201-2,train/40h/40ho0313-2.wav,train/406/406o030d-6.wav
40po030i-2_01eo031b-2,train/40p/40pa0109-0.wav,train/01e/01ec020g-0.wav
01ko0310-0_01wo0306-0,train/01k/01ka010c-0.wav,train/01w/01wc0203-2.wav
40jc020r-2_024o030l-0,train/40j/40jc020i-0.wav,train/024/024c020h-0.wav
408c020d-0_027o030o-12,train/408/408o0307-4.wav,train/027/027c0215-6.wav
02bo030n-0_01qc020w-0,train/02b/02bc0203-0.wav,train/01q/01qo0303-2.wav
01fo0316-0_01to031f-10,train/01f/01fa0112-0.wav,train/01t/01tc020f-4.wav
024a010i-2_02ea010m-2,train/024/024c020y-4.wav,train/02e/02ea0106-0.wav
02bc020k-4_01bc0212-2,train/02b/02bo0302-2.wav,train/01b/01bc0217-4.wav
024c0219-4_01mo030v-4,train/024/024c020x-2.wav,train/01m/01mc020s-0.wav
02bo0319-4_01ro0318-0,train/02b/02bo0310-4.wav,train/01r/01rc0214-0.wav
